@relation netflix
@attribute 'horames' real
@attribute 'cantidadPagos' real
@attribute 'region' {'NA', 'CA', 'SA'}
@attribute 'edad' real
@attribute 'dispositivo' {TV,TABLET,SMARTPHONE,CONSOLAS, PC}
@attribute 'class' { no_contrata, contrata}
@data
120, 12, 'CA', 70, TABLET, 'no_contrata'
300, 12, 'CA', 60, CONSOLAS, 'no_contrata'
180, 4, 'SA', 51, TV, 'no_contrata'
240, 1, 'NA', 17, SMARTPHONE, 'no_contrata'
330, 12, 'NA', 70, SMARTPHONE, 'contrata'
120, 2, 'CA', 46, TV, 'no_contrata'
210, 4, 'NA', 27, CONSOLAS, 'no_contrata'
30, 6, 'CA', 46, TV, 'no_contrata'
30, 8, 'SA', 50, TABLET, 'no_contrata'
90, 4, 'NA', 64, CONSOLAS, 'no_contrata'
300, 10, 'NA', 30, SMARTPHONE, 'contrata'
270, 9, 'CA', 42, TV, 'no_contrata'
330, 2, 'CA', 49, TABLET, 'no_contrata'
210, 7, 'SA', 30, SMARTPHONE, 'contrata'
210, 11, 'SA', 22, SMARTPHONE, 'contrata'
120, 11, 'CA', 26, CONSOLAS, 'no_contrata'
300, 2, 'NA', 64, SMARTPHONE, 'no_contrata'
180, 8, 'SA', 64, CONSOLAS, 'no_contrata'
300, 5, 'NA', 12, CONSOLAS, 'no_contrata'
90, 5, 'NA', 16, TV, 'no_contrata'
180, 8, 'CA', 26, CONSOLAS, 'no_contrata'
0, 10, 'CA', 57, SMARTPHONE, 'no_contrata'
30, 5, 'SA', 68, TV, 'no_contrata'
0, 10, 'SA', 15, TV, 'no_contrata'
270, 8, 'CA', 51, TV, 'no_contrata'
30, 6, 'SA', 15, TABLET, 'no_contrata'
90, 8, 'SA', 21, TV, 'no_contrata'
90, 2, 'SA', 20, TV, 'no_contrata'
0, 11, 'NA', 51, TABLET, 'no_contrata'
300, 8, 'CA', 44, TV, 'no_contrata'
300, 1, 'CA', 40, SMARTPHONE, 'no_contrata'
0, 2, 'NA', 42, CONSOLAS, 'no_contrata'
180, 1, 'CA', 31, CONSOLAS, 'no_contrata'
240, 6, 'SA', 67, CONSOLAS, 'no_contrata'
240, 11, 'SA', 68, CONSOLAS, 'no_contrata'
120, 8, 'SA', 65, SMARTPHONE, 'no_contrata'
210, 8, 'NA', 52, TABLET, 'contrata'
0, 10, 'NA', 24, SMARTPHONE, 'no_contrata'
300, 10, 'CA', 44, SMARTPHONE, 'no_contrata'
300, 8, 'NA', 27, SMARTPHONE, 'contrata'
60, 4, 'SA', 45, TV, 'no_contrata'
330, 9, 'SA', 58, CONSOLAS, 'no_contrata'
90, 7, 'CA', 12, CONSOLAS, 'no_contrata'
120, 7, 'CA', 28, CONSOLAS, 'no_contrata'
240, 12, 'CA', 17, CONSOLAS, 'no_contrata'
60, 5, 'SA', 47, TV, 'no_contrata'
150, 5, 'NA', 24, SMARTPHONE, 'contrata'
210, 9, 'CA', 29, TV, 'no_contrata'
210, 6, 'CA', 44, SMARTPHONE, 'no_contrata'
60, 3, 'NA', 55, SMARTPHONE, 'no_contrata'
210, 9, 'NA', 60, CONSOLAS, 'no_contrata'
270, 10, 'CA', 52, CONSOLAS, 'no_contrata'
90, 11, 'NA', 20, TABLET, 'no_contrata'
330, 5, 'SA', 50, TABLET, 'contrata'
270, 9, 'NA', 12, TABLET, 'contrata'
0, 9, 'NA', 12, SMARTPHONE, 'no_contrata'
300, 1, 'NA', 69, CONSOLAS, 'no_contrata'
90, 3, 'NA', 45, TV, 'no_contrata'
60, 11, 'CA', 53, TV, 'no_contrata'
270, 11, 'CA', 31, SMARTPHONE, 'no_contrata'
120, 8, 'SA', 24, TABLET, 'no_contrata'
60, 6, 'NA', 33, CONSOLAS, 'no_contrata'
0, 11, 'NA', 23, TV, 'no_contrata'
30, 7, 'CA', 31, TV, 'no_contrata'
150, 5, 'SA', 33, SMARTPHONE, 'contrata'
300, 10, 'NA', 71, TABLET, 'contrata'
0, 1, 'SA', 42, CONSOLAS, 'no_contrata'
150, 9, 'SA', 34, SMARTPHONE, 'contrata'
330, 1, 'NA', 67, TABLET, 'no_contrata'
300, 12, 'CA', 39, TV, 'no_contrata'
270, 8, 'CA', 58, TABLET, 'no_contrata'
60, 4, 'CA', 52, CONSOLAS, 'no_contrata'
0, 10, 'NA', 20, TV, 'no_contrata'
240, 8, 'NA', 52, TV, 'no_contrata'
240, 11, 'CA', 20, TABLET, 'no_contrata'
270, 2, 'SA', 67, SMARTPHONE, 'no_contrata'
150, 6, 'NA', 32, SMARTPHONE, 'contrata'
60, 6, 'CA', 70, TV, 'no_contrata'
0, 11, 'CA', 51, TABLET, 'no_contrata'
60, 8, 'CA', 26, CONSOLAS, 'no_contrata'
240, 2, 'NA', 18, TABLET, 'no_contrata'
120, 5, 'SA', 56, TABLET, 'no_contrata'
330, 6, 'NA', 36, SMARTPHONE, 'contrata'
60, 12, 'NA', 38, CONSOLAS, 'no_contrata'
210, 2, 'SA', 51, TABLET, 'no_contrata'
30, 10, 'CA', 55, SMARTPHONE, 'no_contrata'
300, 10, 'CA', 38, SMARTPHONE, 'no_contrata'
60, 3, 'NA', 56, TV, 'no_contrata'
90, 11, 'SA', 45, TABLET, 'no_contrata'
120, 12, 'SA', 12, SMARTPHONE, 'no_contrata'
300, 4, 'NA', 66, TABLET, 'contrata'
150, 5, 'CA', 30, TABLET, 'no_contrata'
150, 6, 'NA', 17, TV, 'no_contrata'
210, 10, 'NA', 46, CONSOLAS, 'no_contrata'
60, 5, 'CA', 42, SMARTPHONE, 'no_contrata'
150, 12, 'SA', 54, CONSOLAS, 'no_contrata'
240, 8, 'NA', 62, SMARTPHONE, 'contrata'
210, 11, 'CA', 57, CONSOLAS, 'no_contrata'
120, 3, 'NA', 33, SMARTPHONE, 'no_contrata'
270, 1, 'SA', 57, TABLET, 'no_contrata'
60, 9, 'NA', 21, TV, 'no_contrata'
30, 1, 'CA', 47, TABLET, 'no_contrata'
330, 7, 'NA', 50, SMARTPHONE, 'contrata'
300, 6, 'SA', 34, TABLET, 'contrata'
270, 7, 'NA', 53, TV, 'no_contrata'
240, 7, 'SA', 24, TABLET, 'contrata'
60, 7, 'SA', 57, TV, 'no_contrata'
0, 12, 'NA', 60, TABLET, 'no_contrata'
60, 10, 'CA', 18, SMARTPHONE, 'no_contrata'
30, 10, 'CA', 22, CONSOLAS, 'no_contrata'
0, 2, 'NA', 65, TV, 'no_contrata'
180, 5, 'NA', 58, TV, 'no_contrata'
120, 8, 'CA', 57, CONSOLAS, 'no_contrata'
270, 4, 'CA', 37, SMARTPHONE, 'no_contrata'
0, 7, 'NA', 16, CONSOLAS, 'no_contrata'
300, 4, 'SA', 58, TABLET, 'contrata'
330, 12, 'SA', 60, TV, 'no_contrata'
210, 10, 'CA', 61, CONSOLAS, 'no_contrata'
240, 7, 'SA', 23, SMARTPHONE, 'contrata'
180, 5, 'CA', 48, SMARTPHONE, 'no_contrata'
90, 1, 'NA', 17, CONSOLAS, 'no_contrata'
90, 4, 'CA', 16, SMARTPHONE, 'no_contrata'
90, 6, 'SA', 57, SMARTPHONE, 'no_contrata'
300, 12, 'CA', 50, SMARTPHONE, 'no_contrata'
90, 9, 'CA', 62, SMARTPHONE, 'no_contrata'
150, 10, 'NA', 12, TABLET, 'contrata'
120, 2, 'CA', 70, SMARTPHONE, 'no_contrata'
270, 7, 'SA', 38, SMARTPHONE, 'contrata'
300, 2, 'SA', 63, CONSOLAS, 'no_contrata'
300, 11, 'SA', 49, SMARTPHONE, 'contrata'
30, 11, 'CA', 56, CONSOLAS, 'no_contrata'
120, 8, 'NA', 71, CONSOLAS, 'no_contrata'
120, 1, 'CA', 70, CONSOLAS, 'no_contrata'
300, 9, 'SA', 51, SMARTPHONE, 'contrata'
0, 8, 'SA', 47, CONSOLAS, 'no_contrata'
300, 9, 'NA', 38, TABLET, 'contrata'
180, 1, 'NA', 57, TV, 'no_contrata'
60, 1, 'CA', 24, TV, 'no_contrata'
330, 5, 'CA', 36, CONSOLAS, 'no_contrata'
90, 7, 'NA', 69, CONSOLAS, 'no_contrata'
0, 4, 'SA', 57, SMARTPHONE, 'no_contrata'
330, 4, 'CA', 60, SMARTPHONE, 'no_contrata'
90, 7, 'NA', 66, CONSOLAS, 'no_contrata'
120, 1, 'CA', 45, CONSOLAS, 'no_contrata'
330, 11, 'NA', 67, CONSOLAS, 'no_contrata'
120, 3, 'SA', 18, TABLET, 'no_contrata'
270, 6, 'NA', 63, SMARTPHONE, 'contrata'
120, 4, 'CA', 47, TABLET, 'no_contrata'
240, 4, 'CA', 58, TABLET, 'no_contrata'
0, 12, 'NA', 61, CONSOLAS, 'no_contrata'
300, 3, 'SA', 44, TV, 'no_contrata'
270, 7, 'CA', 32, TABLET, 'no_contrata'
150, 11, 'CA', 45, CONSOLAS, 'no_contrata'
240, 4, 'CA', 64, SMARTPHONE, 'no_contrata'
300, 11, 'CA', 24, SMARTPHONE, 'no_contrata'
30, 12, 'SA', 24, CONSOLAS, 'no_contrata'
180, 3, 'NA', 53, TABLET, 'no_contrata'
300, 5, 'CA', 52, TABLET, 'no_contrata'
150, 7, 'NA', 26, SMARTPHONE, 'contrata'
150, 1, 'SA', 69, TV, 'no_contrata'
210, 12, 'SA', 56, SMARTPHONE, 'contrata'
180, 1, 'CA', 70, CONSOLAS, 'no_contrata'
330, 3, 'SA', 30, SMARTPHONE, 'no_contrata'
240, 11, 'CA', 32, SMARTPHONE, 'no_contrata'
90, 5, 'CA', 19, TABLET, 'no_contrata'
30, 8, 'CA', 69, CONSOLAS, 'no_contrata'
330, 1, 'SA', 70, TV, 'no_contrata'
30, 12, 'CA', 14, CONSOLAS, 'no_contrata'
180, 7, 'SA', 25, TV, 'no_contrata'
330, 7, 'CA', 24, TV, 'no_contrata'
0, 9, 'SA', 29, TABLET, 'no_contrata'
300, 11, 'NA', 46, TABLET, 'contrata'
30, 1, 'SA', 36, TV, 'no_contrata'
300, 10, 'CA', 66, CONSOLAS, 'no_contrata'
60, 6, 'CA', 28, TV, 'no_contrata'
240, 5, 'CA', 56, CONSOLAS, 'no_contrata'
180, 7, 'CA', 37, SMARTPHONE, 'no_contrata'
330, 10, 'CA', 40, CONSOLAS, 'no_contrata'
210, 7, 'NA', 53, TV, 'no_contrata'
90, 3, 'NA', 62, TV, 'no_contrata'
120, 5, 'CA', 67, TV, 'no_contrata'
90, 8, 'NA', 19, CONSOLAS, 'no_contrata'
150, 12, 'NA', 19, TABLET, 'contrata'
120, 11, 'NA', 40, CONSOLAS, 'no_contrata'
90, 8, 'SA', 26, SMARTPHONE, 'no_contrata'
150, 11, 'CA', 42, CONSOLAS, 'no_contrata'
30, 5, 'CA', 36, TABLET, 'no_contrata'
60, 8, 'SA', 63, SMARTPHONE, 'no_contrata'
270, 5, 'SA', 46, TABLET, 'contrata'
210, 10, 'NA', 29, TABLET, 'contrata'
330, 5, 'CA', 15, TV, 'no_contrata'
210, 9, 'SA', 70, CONSOLAS, 'no_contrata'
210, 4, 'SA', 24, TV, 'no_contrata'
180, 6, 'SA', 67, SMARTPHONE, 'contrata'
30, 1, 'NA', 12, TABLET, 'no_contrata'
30, 8, 'CA', 64, TV, 'no_contrata'
180, 6, 'NA', 49, TABLET, 'contrata'
0, 2, 'NA', 50, TABLET, 'no_contrata'
90, 1, 'SA', 71, TV, 'no_contrata'
150, 12, 'CA', 13, CONSOLAS, 'no_contrata'
210, 9, 'CA', 30, SMARTPHONE, 'no_contrata'
240, 12, 'CA', 12, SMARTPHONE, 'no_contrata'
210, 9, 'NA', 23, CONSOLAS, 'no_contrata'
90, 8, 'CA', 42, CONSOLAS, 'no_contrata'
120, 4, 'CA', 61, TV, 'no_contrata'
240, 9, 'NA', 40, CONSOLAS, 'no_contrata'
300, 2, 'CA', 24, SMARTPHONE, 'no_contrata'
90, 12, 'SA', 41, TABLET, 'no_contrata'
330, 6, 'NA', 32, TABLET, 'contrata'
180, 6, 'NA', 17, SMARTPHONE, 'contrata'
300, 7, 'SA', 35, TV, 'no_contrata'
300, 12, 'SA', 17, CONSOLAS, 'no_contrata'
60, 5, 'NA', 65, TABLET, 'no_contrata'
150, 8, 'CA', 24, TV, 'no_contrata'
270, 10, 'SA', 69, TABLET, 'contrata'
300, 7, 'SA', 12, CONSOLAS, 'no_contrata'
210, 10, 'NA', 60, TABLET, 'contrata'
90, 9, 'SA', 49, CONSOLAS, 'no_contrata'
30, 6, 'NA', 46, TV, 'no_contrata'
330, 8, 'CA', 66, CONSOLAS, 'no_contrata'
240, 8, 'CA', 21, TABLET, 'no_contrata'
0, 10, 'CA', 56, TV, 'no_contrata'
180, 10, 'NA', 32, TV, 'no_contrata'
0, 12, 'CA', 71, SMARTPHONE, 'no_contrata'
210, 10, 'CA', 30, CONSOLAS, 'no_contrata'
0, 7, 'CA', 52, TV, 'no_contrata'
270, 7, 'CA', 27, TABLET, 'no_contrata'
300, 12, 'NA', 71, CONSOLAS, 'no_contrata'
30, 8, 'NA', 53, TABLET, 'no_contrata'
240, 8, 'NA', 23, TV, 'no_contrata'
60, 4, 'NA', 56, TABLET, 'no_contrata'
210, 9, 'CA', 34, TABLET, 'no_contrata'
240, 10, 'NA', 50, SMARTPHONE, 'contrata'
270, 12, 'NA', 25, CONSOLAS, 'no_contrata'
0, 6, 'NA', 45, TV, 'no_contrata'
210, 7, 'SA', 67, CONSOLAS, 'no_contrata'
90, 7, 'NA', 45, TV, 'no_contrata'
60, 1, 'CA', 68, TABLET, 'no_contrata'
330, 3, 'SA', 44, CONSOLAS, 'no_contrata'
120, 7, 'CA', 41, TV, 'no_contrata'
0, 4, 'SA', 24, TABLET, 'no_contrata'
330, 7, 'NA', 71, CONSOLAS, 'no_contrata'
60, 7, 'NA', 51, TV, 'no_contrata'
90, 6, 'NA', 13, SMARTPHONE, 'no_contrata'
210, 4, 'CA', 43, CONSOLAS, 'no_contrata'
120, 11, 'CA', 24, CONSOLAS, 'no_contrata'
300, 5, 'CA', 41, TV, 'no_contrata'
120, 8, 'CA', 59, TABLET, 'no_contrata'
90, 4, 'SA', 29, TV, 'no_contrata'
270, 12, 'SA', 66, TV, 'no_contrata'
90, 8, 'CA', 21, SMARTPHONE, 'no_contrata'
300, 3, 'CA', 52, SMARTPHONE, 'no_contrata'
30, 5, 'CA', 65, SMARTPHONE, 'no_contrata'
120, 2, 'NA', 54, TABLET, 'no_contrata'
30, 8, 'SA', 21, CONSOLAS, 'no_contrata'
120, 8, 'NA', 60, CONSOLAS, 'no_contrata'
270, 7, 'SA', 42, TABLET, 'contrata'
120, 5, 'CA', 19, TABLET, 'no_contrata'
180, 12, 'NA', 64, SMARTPHONE, 'contrata'
90, 12, 'NA', 12, CONSOLAS, 'no_contrata'
300, 1, 'CA', 64, SMARTPHONE, 'no_contrata'
60, 5, 'CA', 70, TV, 'no_contrata'
180, 4, 'SA', 27, TABLET, 'contrata'
30, 5, 'CA', 58, CONSOLAS, 'no_contrata'
180, 1, 'NA', 23, CONSOLAS, 'no_contrata'
240, 11, 'CA', 57, TABLET, 'no_contrata'
30, 5, 'NA', 47, TABLET, 'no_contrata'
270, 7, 'CA', 51, TV, 'no_contrata'
330, 10, 'SA', 70, SMARTPHONE, 'contrata'
180, 9, 'CA', 61, TABLET, 'no_contrata'
270, 3, 'SA', 63, TV, 'no_contrata'
270, 6, 'SA', 44, SMARTPHONE, 'contrata'
180, 10, 'NA', 68, TV, 'no_contrata'
270, 9, 'SA', 18, CONSOLAS, 'no_contrata'
270, 5, 'CA', 23, TV, 'no_contrata'
150, 2, 'SA', 66, SMARTPHONE, 'no_contrata'
30, 6, 'CA', 71, TABLET, 'no_contrata'
300, 6, 'NA', 33, TV, 'no_contrata'
0, 8, 'CA', 48, TV, 'no_contrata'
210, 1, 'CA', 24, CONSOLAS, 'no_contrata'
0, 10, 'CA', 22, SMARTPHONE, 'no_contrata'
330, 5, 'SA', 50, TABLET, 'contrata'
0, 5, 'SA', 58, TV, 'no_contrata'
120, 10, 'NA', 69, TABLET, 'no_contrata'
210, 11, 'CA', 13, TV, 'no_contrata'
60, 3, 'SA', 18, SMARTPHONE, 'no_contrata'
150, 1, 'SA', 62, CONSOLAS, 'no_contrata'
210, 11, 'SA', 16, TV, 'no_contrata'
300, 12, 'CA', 55, SMARTPHONE, 'no_contrata'
270, 10, 'SA', 38, TABLET, 'contrata'
120, 6, 'NA', 19, CONSOLAS, 'no_contrata'
300, 3, 'CA', 48, CONSOLAS, 'no_contrata'
240, 2, 'NA', 69, SMARTPHONE, 'no_contrata'
180, 2, 'NA', 57, TV, 'no_contrata'
180, 6, 'CA', 44, TV, 'no_contrata'
30, 1, 'NA', 19, SMARTPHONE, 'no_contrata'
150, 5, 'NA', 36, SMARTPHONE, 'contrata'
210, 6, 'CA', 36, CONSOLAS, 'no_contrata'
210, 8, 'SA', 18, TABLET, 'contrata'
240, 5, 'CA', 65, CONSOLAS, 'no_contrata'
0, 1, 'NA', 24, CONSOLAS, 'no_contrata'
240, 2, 'SA', 20, SMARTPHONE, 'no_contrata'
120, 5, 'NA', 38, SMARTPHONE, 'no_contrata'
270, 7, 'SA', 12, TV, 'no_contrata'
30, 2, 'SA', 67, TABLET, 'no_contrata'
180, 12, 'SA', 65, TV, 'no_contrata'
90, 11, 'SA', 49, TABLET, 'no_contrata'
0, 12, 'SA', 25, CONSOLAS, 'no_contrata'
240, 9, 'CA', 60, TABLET, 'no_contrata'
180, 5, 'CA', 48, CONSOLAS, 'no_contrata'
240, 8, 'SA', 53, TV, 'no_contrata'
240, 6, 'SA', 48, TABLET, 'contrata'
270, 3, 'NA', 34, CONSOLAS, 'no_contrata'
60, 4, 'NA', 25, SMARTPHONE, 'no_contrata'
90, 2, 'SA', 31, SMARTPHONE, 'no_contrata'
60, 8, 'NA', 52, SMARTPHONE, 'no_contrata'
270, 8, 'CA', 49, CONSOLAS, 'no_contrata'
120, 6, 'SA', 53, CONSOLAS, 'no_contrata'
90, 4, 'NA', 65, TV, 'no_contrata'
120, 11, 'SA', 59, TABLET, 'no_contrata'
30, 3, 'CA', 28, SMARTPHONE, 'no_contrata'
270, 2, 'NA', 41, CONSOLAS, 'no_contrata'
270, 11, 'NA', 59, CONSOLAS, 'no_contrata'
120, 4, 'CA', 38, TABLET, 'no_contrata'
180, 10, 'NA', 20, TV, 'no_contrata'
240, 7, 'SA', 28, TABLET, 'contrata'
30, 6, 'SA', 49, TABLET, 'no_contrata'
90, 6, 'NA', 17, TV, 'no_contrata'
60, 10, 'SA', 25, TABLET, 'no_contrata'
120, 11, 'CA', 30, SMARTPHONE, 'no_contrata'
30, 1, 'NA', 58, SMARTPHONE, 'no_contrata'
90, 3, 'CA', 48, CONSOLAS, 'no_contrata'
270, 3, 'CA', 29, TV, 'no_contrata'
90, 11, 'NA', 71, TABLET, 'no_contrata'
300, 4, 'CA', 31, TABLET, 'no_contrata'
240, 11, 'SA', 39, CONSOLAS, 'no_contrata'
0, 11, 'NA', 71, CONSOLAS, 'no_contrata'
0, 4, 'NA', 60, TV, 'no_contrata'
150, 7, 'SA', 49, CONSOLAS, 'no_contrata'
300, 11, 'CA', 23, CONSOLAS, 'no_contrata'
210, 11, 'CA', 59, TV, 'no_contrata'
90, 11, 'NA', 17, SMARTPHONE, 'no_contrata'
270, 6, 'CA', 50, TV, 'no_contrata'
150, 7, 'SA', 61, CONSOLAS, 'no_contrata'
270, 5, 'NA', 30, TV, 'no_contrata'
240, 6, 'NA', 53, SMARTPHONE, 'contrata'
0, 7, 'NA', 66, TV, 'no_contrata'
210, 10, 'CA', 29, TABLET, 'no_contrata'
210, 8, 'CA', 49, CONSOLAS, 'no_contrata'
120, 4, 'NA', 45, SMARTPHONE, 'no_contrata'
30, 5, 'NA', 18, TV, 'no_contrata'
30, 2, 'NA', 65, TABLET, 'no_contrata'
240, 6, 'NA', 13, CONSOLAS, 'no_contrata'
270, 9, 'SA', 39, CONSOLAS, 'no_contrata'
0, 8, 'SA', 23, TV, 'no_contrata'
30, 7, 'CA', 49, SMARTPHONE, 'no_contrata'
210, 5, 'SA', 67, CONSOLAS, 'no_contrata'
210, 1, 'NA', 54, TABLET, 'no_contrata'
210, 8, 'SA', 43, SMARTPHONE, 'contrata'
30, 9, 'NA', 49, TV, 'no_contrata'
210, 6, 'NA', 14, TV, 'no_contrata'
270, 1, 'SA', 43, TV, 'no_contrata'
0, 9, 'NA', 70, CONSOLAS, 'no_contrata'
30, 10, 'CA', 22, TV, 'no_contrata'
60, 12, 'SA', 16, SMARTPHONE, 'no_contrata'
330, 8, 'SA', 16, CONSOLAS, 'no_contrata'
270, 1, 'SA', 32, TV, 'no_contrata'
300, 7, 'NA', 16, SMARTPHONE, 'contrata'
180, 10, 'CA', 42, CONSOLAS, 'no_contrata'
210, 8, 'NA', 63, TABLET, 'contrata'
60, 12, 'SA', 65, CONSOLAS, 'no_contrata'
210, 1, 'NA', 25, CONSOLAS, 'no_contrata'
210, 10, 'CA', 23, TV, 'no_contrata'
240, 12, 'SA', 52, CONSOLAS, 'no_contrata'
210, 9, 'NA', 64, SMARTPHONE, 'contrata'
180, 4, 'CA', 61, TV, 'no_contrata'
60, 1, 'SA', 65, CONSOLAS, 'no_contrata'
150, 11, 'CA', 29, TV, 'no_contrata'
90, 10, 'CA', 70, TV, 'no_contrata'
30, 1, 'NA', 36, CONSOLAS, 'no_contrata'
210, 12, 'NA', 65, TV, 'no_contrata'
180, 9, 'CA', 51, SMARTPHONE, 'no_contrata'
0, 3, 'CA', 49, CONSOLAS, 'no_contrata'
270, 3, 'CA', 56, SMARTPHONE, 'no_contrata'
330, 5, 'CA', 33, SMARTPHONE, 'no_contrata'
90, 1, 'NA', 29, CONSOLAS, 'no_contrata'
270, 3, 'CA', 21, CONSOLAS, 'no_contrata'
0, 11, 'SA', 28, SMARTPHONE, 'no_contrata'
270, 10, 'SA', 29, SMARTPHONE, 'contrata'
30, 4, 'SA', 28, SMARTPHONE, 'no_contrata'
210, 12, 'SA', 32, CONSOLAS, 'no_contrata'
60, 5, 'NA', 42, TV, 'no_contrata'
0, 11, 'CA', 59, TABLET, 'no_contrata'
90, 12, 'CA', 47, TV, 'no_contrata'
120, 3, 'NA', 67, SMARTPHONE, 'no_contrata'
180, 11, 'CA', 61, CONSOLAS, 'no_contrata'
30, 6, 'SA', 33, CONSOLAS, 'no_contrata'
150, 12, 'CA', 26, TABLET, 'no_contrata'
240, 7, 'CA', 20, TV, 'no_contrata'
270, 7, 'NA', 27, TV, 'no_contrata'
330, 7, 'CA', 32, TABLET, 'no_contrata'
120, 7, 'SA', 19, TV, 'no_contrata'
150, 1, 'CA', 24, CONSOLAS, 'no_contrata'
0, 12, 'NA', 42, TV, 'no_contrata'
150, 9, 'SA', 51, SMARTPHONE, 'contrata'
120, 7, 'SA', 43, TV, 'no_contrata'
330, 9, 'SA', 37, TABLET, 'contrata'
0, 6, 'SA', 16, SMARTPHONE, 'no_contrata'
240, 9, 'NA', 48, TABLET, 'contrata'
240, 6, 'CA', 68, SMARTPHONE, 'no_contrata'
240, 12, 'NA', 30, TV, 'no_contrata'
0, 12, 'CA', 28, TABLET, 'no_contrata'
330, 5, 'SA', 20, TV, 'no_contrata'
60, 6, 'SA', 32, TABLET, 'no_contrata'
90, 9, 'CA', 65, SMARTPHONE, 'no_contrata'
150, 8, 'NA', 53, CONSOLAS, 'no_contrata'
0, 9, 'NA', 22, TABLET, 'no_contrata'
270, 3, 'CA', 32, CONSOLAS, 'no_contrata'
30, 4, 'SA', 22, TABLET, 'no_contrata'
90, 9, 'SA', 14, SMARTPHONE, 'no_contrata'
0, 9, 'SA', 46, SMARTPHONE, 'no_contrata'
60, 10, 'CA', 52, CONSOLAS, 'no_contrata'
180, 10, 'CA', 27, TABLET, 'no_contrata'
270, 12, 'NA', 64, TV, 'no_contrata'
270, 7, 'SA', 12, TV, 'no_contrata'
60, 12, 'SA', 71, TV, 'no_contrata'
30, 11, 'SA', 55, CONSOLAS, 'no_contrata'
330, 5, 'SA', 23, TV, 'no_contrata'
330, 12, 'SA', 66, TABLET, 'contrata'
270, 11, 'NA', 12, TABLET, 'contrata'
240, 7, 'CA', 25, SMARTPHONE, 'no_contrata'
330, 7, 'CA', 21, CONSOLAS, 'no_contrata'
